x,y
0,486.8467893
10,486.8021478
20,486.7572949
30,486.7122391
40,486.6669888
50,486.6215521
60,486.575937
70,486.5301513
80,486.4842025
90,486.4380979
100,486.3918447
110,486.3454497
120,486.2989196
130,486.2522608
140,486.2054796
150,486.1585819
160,486.1115734
170,486.0644598
180,486.0172464
190,485.9699383
200,485.9225404
210,485.8750574
220,485.8274938
230,485.779854
240,485.732142
250,485.6843618
260,485.6365172
270,485.5886118
280,485.540649
290,485.4926321
300,485.4445641
310,485.3964481
320,485.3482869
330,485.3000832
340,485.2518395
350,485.2035583
360,485.1552418
370,485.1068924
380,485.058512
390,485.0101026
400,484.9616661
410,484.9132043
420,484.864719
430,484.8162116
440,484.7676837
450,484.7191368
460,484.6705722
470,484.6219913
480,484.5733951
490,484.524785
500,484.4761619
510,484.4275271
520,484.3788813
530,484.3302256
540,484.2815608
550,484.2328878
560,484.1842074
570,484.1355202
580,484.0868271
590,484.0381287
600,483.9894256
610,483.9407184
620,483.8920077
630,483.843294
640,483.7945778
650,483.7458596
660,483.6971399
670,483.648419
680,483.5996974
690,483.5509755
700,483.5022536
710,483.453532
720,483.4048111
730,483.3560912
740,483.3073725
750,483.2586554
760,483.2099401
770,483.1612268
780,483.1125158
790,483.0638073
800,483.0151014
810,482.9663984
820,482.9176985
830,482.8690018
840,482.8203085
850,482.7716188
860,482.7229327
870,482.6742505
880,482.6255722
890,482.576898
900,482.528228
910,482.4795622
920,482.4309009
930,482.3822441
940,482.3335919
950,482.2849444
960,482.2363016
970,482.1876636
980,482.1390306
990,482.0904026
1000,482.0417796
